ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
325	TR	barbas	himusí-r.	himusí-r.	h i m u s í/i + r		57	331	410 411	h i - m u - s í/i + r
326	Proto	bañarse	*'upa	*'upa	ʔ u p a		25	174	418	- ʔ u p a
327	O	bañarse	uva	uva	u v a		25	174	418	- - u v a
328	En	bañarse	úva-	úva-	ú/u v a		25	174	418	- - ú/u v a
329	Es	bañarse	huba-	huba-	h u b a		25	174	418	- h u b a
330	Y	bañarse	'úba	'úba	ʔ ú/u b a		25	174	418	- ʔ ú/u b a
331	MA	bañarse	úbba	úbba	ú/u bb/bː a		25	174	418	- - ú/u bb/bː a
332	Va	bañarse	u'upá-	u'upá-	u ʔ u p á/a		25	174	418	u ʔ u p á/a
333	TA	bañarse	úba.	úba.	ú/u b a		25	174	418	- - ú/u b a
334	Proto	beber	*hi	*hi	h i		55	329	427	- - h i - - -
335	TEP	beber	'í'ɨi	'í'ɨi	ʔ í/i ʔ ɨi		55	329	427	ʔ í/i ʔ ɨi - - -
336	O	beber	hi	hi	h i		55	329	427	- - h i - - -
337	En	beber	hía-	hía-	h í/i a		55	329	427	- - h í/i - a -
338	Y	beber	hé'e	hé'e	h é/e ʔ e		55	329	427	h é/e ʔ e - - -
339	MA	beber	hé'eye	hé'eye	h é/e ʔ e y/j e		55	329	427	h é/e ʔ e y/j e -
340	Vb	beber	híhi-	híhi-	h í/i h i		55	329	427	h í/i h i - - -
341	Va	beber	ihí-	ihí-	i h í/i		55	329	427	- i h í/i - - -
342	TA	beber	ba-hí	ba-hí	b a + h í/i		55	329	428 427	b a + - - h í/i - - -
343	TR	beber	hé-	hé-	h é/e		55	329	427	- - h é/e - - -
344	TR	beber	ihé-.	ihé-.	i h é/e +		55	329	427	- i h é/e - - +
345	Proto	blanco	*tosa	*tosa	t o s a		315	248	440	t o - s a
346	TEP	blanco	tóha	tóha	t ó/o h a		315	248	440	t ó/o h - a
347	O	blanco	tossa-i	tossa-i	t o ss/sː a + i		315	248	440 442	t o - ss/sː a + i
348	Y	blanco	tósa-i	tósa-i	t ó/o s a + i		315	248	440 442	t ó/o - s a + i
349	MA	blanco	tósa-li	tósa-li	t ó/o s a + l i		315	248	440 441	t ó/o - s a + l i
350	Vb	blanco	tohsá-	tohsá-	t o h s á/a		315	248	440	t o h s á/a
351	Va	blanco	tosá	tosá	t o s á/a		315	248	440	t o - s á/a
352	TA	blanco	rosá-	rosá-	r o s á/a		315	248	440	r o - s á/a
353	TR	blanco	tosá-r.	tosá-r.	t o s á/a + r		315	248	440 443	t o - s á/a + r
354	Proto	blanco de raza	*yori	*yori	y/j o r i		361	303	454	y/j o - r i
355	O	blanco de raza	uri	uri	u r i		361	303	454	- u - r i
356	En	blanco de raza	dóri	dóri	d ó/o r i		361	303	454	d ó/o - r i
357	Y	blanco de raza	yói	yói	y/j ó/o i		361	303	454	y/j ó/o - - i
358	MA	blanco de raza	yoóri	yoóri	y/j o ó/o r i		361	303	454	y/j o ó/o r i
359	Vb	blanco de raza	yóri-homá	yóri-homá	y/j ó/o r i + h o m á/a		361	303	454 456	y/j ó/o - r i + h o m á/a
360	Va	blanco de raza	yorí	yorí	y/j o r í/i		361	303	454	y/j o - r í/i
361	TA	blanco de raza	yoorí	yoorí	y/j o o r í/i		361	303	454	y/j o o r í/i
362	TA	blanco de raza	oorí	oorí	o o r í/i		361	303	454	- o o r í/i
363	TA	blanco de raza	o'rí	o'rí	o ʔ r í/i		361	303	454	- o ʔ r í/i
364	TR	blanco de raza	yolí-t	yolí-t	y/j o l í/i + t		361	303	454 455	y/j o - l í/i + t
365	Proto	boca	*tɨni	*tɨni	t ɨ n i		293	223	468	t ɨ - n i
366	TEP	boca	tíni	tíni	t í/i n i		293	223	468	t í/i - n i
367	O	boca	teni-pe	teni-pe	t e n i + p e		293	223	468 469	t e - n i + p e
368	En	boca	téni-	téni-	t é/e n i		293	223	468	t é/e - n i
369	Y	boca	téni	téni	t é/e n i		293	223	468	t é/e - n i
370	MA	boca	teéni	teéni	t e é/e n i		293	223	468	t e é/e n i
371	Vb	boca	téeni	téeni	t é/e e n i		293	223	468	t é/e e n i
372	TA	boca	riní	riní	r i n í/i		293	223	468	r i - n í/i
373	TR	boca	tiní-r.	tiní-r.	t i n í/i + r		293	223	468 470	t i - n í/i + r
374	Proto	bola	*kapo	*kapo	k a p o		72	348	480	k a - p - - - - - o
375	PI	bola	kaborhika	kaborhika	k a b o r h i k a		72	348	480	k a - b o r h i k a
376	O	bola	-kapo	-kapo	k a p o		72	348	480	k a - p - - - - - o
377	Es	bola	kapo-ma-	kapo-ma-	k a p o + m a		72	348	480 481	k a - p - - - - - o + m a
378	Va	bola	kahpóla	kahpóla	k a h p ó/o l a		72	348	480	k a h p ó/o l - - - a
379	TA	bola	kapóra.	kapóra.	k a p ó/o r a		72	348	480	k a - p ó/o r - - - a
380	Proto	brasa	*'opa	*'opa	ʔ o p a		19	104	488	ʔ o - p a -
381	En	brasa	obí	obí	o b í/i		19	104	488	- o - b í/i -
382	Y	brasa	óuba-	óuba-	ó/o u b a		19	104	488	- ó/o u b a -
383	MA	brasa	óbba-.	óbba-.	ó/o bb/bː a +		19	104	488	- ó/o - bb/bː a +
384	Proto	brazo, mano	*sɨka	*sɨka	s ɨ k a		249	173	493	s ɨ - k - - a
385	P	brazo, mano	hɨk	hɨk	h ɨ k		249	173	493	h ɨ - k - - -
386	PI	brazo, mano	huka	huka	h u k a		249	173	493	h u - k - - a
387	Tn	brazo, mano	íka	íka	í/i k a		249	173	493	- í/i - k - - a
388	Es	brazo, mano	sekora-	sekora-	s e k o r a		249	173	493	s e - k o r a
389	Y	brazo, mano	seéka	seéka	s e é/e k a		249	173	493	s e é/e k - - a
390	MA	brazo, mano	seéka	seéka	s e é/e k a		249	173	493	s e é/e k - - a
391	Vb	brazo, mano	seeká	seeká	s ee/eː k á/a		249	173	493	s ee/eː - k - - á/a
392	Va	brazo, mano	seká	seká	s e k á/a		249	173	493	s e - k - - á/a
393	TA	brazo, mano	seká	seká	s e k á/a		249	173	493	s e - k - - á/a
394	TR	brazo, mano	saká-r	saká-r	s a k á/a + r		249	173	493 494	s a - k - - á/a + r
395	TR	brazo, mano	haká-r	haká-r	h a k á/a + r		249	173	493 494	h a - k - - á/a + r
396	Proto	bueno	*kɨwa	*kɨwa	k ɨ w a		86	363	508	k ɨ - w a
397	TEP	bueno	kíɨga	kíɨga	k íɨ/iɨ g a		86	363	508	k íɨ/iɨ - g a
398	O	bueno	kia	kia	k i/j a		86	363	509	k i/j a
399	En	bueno	kegwá-	kegwá-	k e gʷ á/a		86	363	508	k e - gʷ á/a
400	Y	bueno	kia	kia	k i/j a		86	363	509	k i/j a
401	MA	bueno	kíugwa	kíugwa	k í/i u gʷ a		86	363	508	k í/i u gʷ a
402	TR	bueno	kimwá.	kimwá.	k i mw/mʷ á/a		86	363	508	k i - mw/mʷ á/a
403	Proto	buho	*muhu	*muhu	m u h u		153	63	516	m u - h u
404	O	buho	muh	muh	m u h		153	63	516	m u - h -
405	En	buho	muhú-t	muhú-t	m u h ú/u + t		153	63	516 517	m u - h ú/u + t -
406	Y	buho	muú'u	muú'u	m u ú/u ʔ u		153	63	516	m u ú/u ʔ u
407	MA	buho	muú'u	muú'u	m u ú/u ʔ u		153	63	516	m u ú/u ʔ u
408	TR	buho	mu-tá.	mu-tá.	m u + t á/a		153	63	516 517	m u - - - + t á/a
409	En	cabello	mó	mó	m ó/o		147	56	525	m ó/o
410	Proto	cabeza	*coni	*coni	c o n i		40	313	527	c o - n i
411	O	cabeza	coni	coni	c o n i		40	313	527	c o - n i
412	En	cabeza	cóni-	cóni-	c ó/o n i		40	313	527	c ó/o - n i
413	Y	cabeza	coóni-	coóni-	c o ó/o n i		40	313	527	c o ó/o n i
414	MA	cabeza	coóni-	coóni-	c o ó/o n i		40	313	527	c o ó/o n i
415	TA	cabeza	co'tú	co'tú	c o ʔ t ú/u		40	313	528	c o ʔ t ú/u
416	Proto	cabeza	*mo'o	*mo'o	m o o		147	56	529	m o - o -
417	TEP	cabeza	mo'o	mo'o	m o o		147	56	529	m o - o -
418	MA	cabeza	mó'o-	mó'o-	m ó/o ʔ o		147	56	529	m ó/o ʔ o -
419	MA	cabeza	mó-	mó-	m ó/o		147	56	529	m ó/o - - -
420	Vb	cabeza	mo'ó	mo'ó	m o ó/o		147	56	529	m o - ó/o -
421	Va	cabeza	mo'ó	mo'ó	m o ó/o		147	56	529	m o - ó/o -
422	TA	cabeza	mo'ó	mo'ó	m o ó/o		147	56	529	m o - ó/o -
423	TR	cabeza	móar	móar	m ó/o a r		147	56	529	m ó/o - a r
424	Proto	caerse	*wɨcɨ	*wɨcɨ	w ɨ c ɨ		341	279	542	w ɨ - c ɨ -
425	Proto	caerse	wɨc-i	wɨc-i	w ɨ c + i		341	279	542 545	w ɨ - c - - + i
426	TEP	caerse	gíɨsɨ-	gíɨsɨ-	g íɨ/iɨ s ɨ		341	279	543	g íɨ/iɨ s ɨ
427	O	caerse	gwec-	gwec-	gʷ e c		341	279	543	gʷ e c -
428	Es	caerse	vece-	vece-	v e c e		341	279	542	v e - c e -
429	Y	caerse	wecé	wecé	w e c é/e		341	279	542	w e - c é/e -
430	MA	caerse	wétce	wétce	w é/e t c e		341	279	542	w é/e t c e -
431	Vb	caerse	wici-	wici-	w i c i		341	279	542	w i - c i -
432	Va	caerse	wihci -	wihci_-	w i h c i +		341	279	542	w i h c i +
433	TA	caerse	wicí	wicí	w i c í/i		341	279	542	w i - c í/i -
434	TR	caerse	mwecerak	mwecerak	mʷ e c e r a k		341	279	544	mʷ e c e r a k
435	Proto	caerse el cabello	*nuyu	*nuyu	n u y/j u		179	92	555	n u - y/j u
436	Proto	caerse el cabello	nu-i	nu-i	n u + i		179	92	555 556	n u - - - + i
437	O	caerse el cabello	nud-	nud-	n u d		179	92	555	n u - d -
438	Es	caerse el cabello	nudu-	nudu-	n u d u		179	92	555	n u - d u
439	Y	caerse el cabello	nuúhe.	nuúhe.	n u ú/u h e		179	92	555	n u ú/u h e
440	Proto	camarón	*koci	*koci	k o c i		90	368	563	k o - - c i
441	Y	camarón	koóci	koóci	k o ó/o c i		90	368	563	k o - ó/o c i
442	MA	camarón	báa koóci-m	báa_koóci-m	b á/a a + k o ó/o c i + m		90	368	562 563 564	b á/a a + k o - ó/o c i + m
443	Va	camarón	kohcí	kohcí	k o h c í/i		90	368	563	k o h - c í/i
444	TA	camarón	koci-kál.	koci-kál.	k o c i + k á/a l		90	368	563 565	k o - - c i + k á/a l
445	Proto	camino	*powɨ	*powɨ	p o w ɨ		217	136	571	p o - - w ɨ
446	TEP	camino	vói	vói	v ó/o i		217	136	571	v ó/o - - - i
447	O	camino	bogwe	bogwe	b o gʷ e		217	136	571	b o gʷ - - e
448	En	camino	vowé-t	vowé-t	v o w é/e + t		217	136	571 572	v o - - w é/e + t -
449	Y	camino	boó'o	boó'o	b o ó/o o		217	136	571	b o - ó/o - o
450	MA	camino	boó'o	boó'o	b o ó/o o		217	136	571	b o - ó/o - o
451	Vb	camino	po'owé	po'owé	p o ʔ o w é/e		217	136	571	p o ʔ o w é/e
452	Va	camino	poé	poé	p o é/e		217	136	571	p o - - - é/e
453	TA	camino	bowé	bowé	b o w é/e		217	136	571	b o - - w é/e
454	TA	camino	bo'wé	bo'wé	b o ʔ w é/e		217	136	571	b o ʔ - w é/e
455	TR	camino	wo-ta.	wo-ta.	w o + t a		217	136	571 572	w o - - - - + t a
456	Proto	cansarse	*lo	*lo	l o		225	146	585	l o -
457	Y	cansarse	ló-tte	ló-tte	l ó/o + tt/tː e		225	146	585 586	l ó/o - + tt/tː e
458	MA	cansarse	ló-tte	ló-tte	l ó/o + tt/tː e		225	146	585 586	l ó/o - + tt/tː e
459	Va	cansarse	he'-loí	he'-loí	h e ʔ + l o í/i		225	146	588 585	h e ʔ + l o í/i
460	TR	cansarse	lo-kán	lo-kán	l o + k á/a n		225	146	585 587	l o - + k á/a n
461	Proto	cantar	*kwika	*kwika	kʷ i k a		123	29	595	kʷ i - k a
462	O	cantar	gwik	gwik	gʷ i k		123	29	595	gʷ i - k -
463	En	cantar	bíka-	bíka-	b í/i k a		123	29	595	b í/i - k a
464	Y	cantar	bwiíka	bwiíka	bʷ i í/i k a		123	29	595	bʷ i í/i k a
465	MA	cantar	bwiíka	bwiíka	bʷ i í/i k a		123	29	595	bʷ i í/i k a
466	Vb	cantar	wíka-	wíka-	w í/i k a		123	29	595	w í/i - k a
467	Va	cantar	wiká	wiká	w i k á/a		123	29	595	w i - k á/a
468	TA	cantar	wiká	wiká	w i k á/a		123	29	595	w i - k á/a
469	TR	cantar	kwik-wit	kwik-wit	kʷ i k + w i t		123	29	595 597	kʷ i - k - + w i t
470	Proto	cantar	*nawahi	*nawahi	n a w a h i		170	82	598	n a w a h i
471	Tn	cantar	anái	anái	a n á/a i		170	82	596	a n á/a i
472	TA	cantar	nawahí	nawahí	n a w a h í/i		170	82	598	n a w a h í/i
473	TR	cantar	nyay-.	nyay-.	n y/j a y/j +		170	82	599	n y/j a y/j +
474	Proto	carne	*sapa	*sapa	s a p a		232	154	610	s a - - p a
475	En	carne	sába	sába	s á/a b a		232	154	610	s á/a - - b a
476	Vb	carne	sa'apá	sa'apá	s a ʔ a p á/a		232	154	610	s a ʔ a p á/a
477	Va	carne	sa'pá	sa'pá	s a p á/a		232	154	610	s a - - p á/a
478	TA	carne	sa'pá	sa'pá	s a p á/a		232	154	610	s a - - p á/a
479	TR	carne	sa-sapá-r	sa-sapá-r	s a + s a p á/a + r		232	154	611 610 612	s a + s a - - p á/a + r
480	Proto	carne, cuerpo	*tukuwa	*tukuwa	t u k u w a		321	256	619	t u - k u w a
481	TEP	carne, cuerpo	tuukúga	tuukúga	t u u/u k ú/u g a		321	256	619	t u u/u k ú/u g a
482	Y	carne, cuerpo	tékwa	tékwa	t é/e kʷ a		321	256	619	t é/e - - - kʷ a
483	MA	carne, cuerpo	tékgwa	tékgwa	t é/e k gʷ a		321	256	619	t é/e - k - gʷ a
484	TR	carne, cuerpo	tíkuwá-t.	tíkuwá-t.	t í/i k u w á/a + t		321	256	619 620	t í/i - k u w á/a + t
485	Proto	carrizo	*paka	*paka	p a k a		185	99	626	p a - - k a
486	P	carrizo	wahpk	wahpk	w a h p k		185	99	626	w a h p k -
487	PI	carrizo	vakka	vakka	v a kk/kː a		185	99	626	v a - - kk/kː a
488	O	carrizo	vaka-t	vaka-t	v a k a + t		185	99	626 628	v a - - k a + t
489	En	carrizo	bakí-bo	bakí-bo	b a k í/i + b o		185	99	626 627	b a - - k í/i + b o
490	Y	carrizo	báka	báka	b á/a k a		185	99	626	b á/a - - k a
491	MA	carrizo	baáka	baáka	b a á/a k a		185	99	626	b a á/a - k a
492	Va	carrizo	paká	paká	p a k á/a		185	99	626	p a - - k á/a
493	TA	carrizo	baká	baká	b a k á/a		185	99	626	b a - - k á/a
494	TR	carrizo	waká-t.	waká-t.	w a k á/a + t		185	99	626 628	w a - - k á/a + t
495	Proto	casa	*kari	*kari	k a r i		74	350	640	k a - r i
496	Y	casa	kári	kári	k á/a r i		74	350	640	k á/a - r i
497	MA	casa	káari	káari	k á/a a r i		74	350	640	k á/a a r i
498	Vb	casa	kaarí	kaarí	k a a r í/i		74	350	640	k a a r í/i
499	Vb	casa	karí	karí	k a r í/i		74	350	640	k a - r í/i
500	Va	casa	karí	karí	k a r í/i		74	350	640	k a - r í/i
501	TA	casa	karí	karí	k a r í/i		74	350	640	k a - r í/i
502	TR	casa	kalí-n	kalí-n	k a l í/i + n		74	350	640 641	k a - l í/i + n
503	Proto	casa	*ki	*ki	k i		80	357	640	k - - - i
504	TEP	casa	kíi	kíi	k íi/iː		80	357	640	k - - - íi/iː
505	O	casa	ki	ki	k i		80	357	640	k - - - i
506	En	casa	kí-	kí-	k í/i		80	357	640	k - - - í/i
507	TR	casa	ki-tá.	ki-tá.	k i + t á/a		80	357	640 642	k - - - i + t á/a
508	Proto	casarse el hombre	*hupɨ	*hupɨ	h u p ɨ		68	343	656	h u p ɨ
509	Proto	cazar	*'amu	*'amu	ʔ a m u		3	230	658	ʔ a - m u
510	O	cazar	hamu	hamu	h a m u		3	230	658	h a - m u
511	En	cazar	ámu-	ámu-	á/a m u		3	230	658	- á/a - m u
512	Y	cazar	'aámu	'aámu	ʔ a á/a m u		3	230	658	ʔ a á/a m u
513	MA	cazar	aámu	aámu	a á/a m u		3	230	658	- a á/a m u
514	TA	cazar	amí	amí	a m í/i		3	230	658	- a - m í/i
515	Proto	caña	*'oma	*'oma	ʔ o m a		15	59	665	ʔ o - m a
516	O	caña	oma	oma	o m a		15	59	665	- o - m a
517	En	caña	omá	omá	o m á/a		15	59	665	- o - m á/a
518	Es	caña	homa-	homa-	h o m a		15	59	665	h o - m a
519	Vb	caña	yóri-homá	yóri-homá	y/j ó/o r i + h o m á/a		15	59	666 665	y/j ó/o r i + h o - m á/a
520	Va	caña	omá	omá	o m á/a		15	59	665	- o - m á/a
521	TA	caña	oomá	oomá	o o m á/a		15	59	665	- o o m á/a
522	TA	caña	má.	má.	m á/a		15	59	665	- - - m á/a
523	Proto	ceniza	*naposa	*naposa	n a p o s a		166	77	675	n a - p o s a
524	Proto	ceniza	napiso	napiso	n a p i s o		166	77	675	n a - p i s o
525	O	ceniza	napot	napot	n a p o t		166	77	675	n a - p o t -
526	En	ceniza	napósa-	napósa-	n a p ó/o s a		166	77	675	n a - p ó/o s a
527	Y	ceniza	náposa	náposa	n á/a p o s a		166	77	675	n á/a - p o s a
528	MA	ceniza	náposa	náposa	n á/a p o s a		166	77	675	n á/a - p o s a
529	Vb	ceniza	náapisó	náapisó	n á/a a p i s ó/o		166	77	675	n á/a a p i s ó/o
530	Va	ceniza	nahpisó	nahpisó	n a h p i s ó/o		166	77	675	n a h p i s ó/o
531	TA	ceniza	napisó	napisó	n a p i s ó/o		166	77	675	n a - p i s ó/o
532	TR	ceniza	nasí-t.	nasí-t.	n a s í/i + t		166	77	675 676	n a - s í/i - - + t
533	Proto	cerrar	*yɨ	*yɨ	y/j ɨ		353	292	690	y/j ɨ - -
534	O	cerrar	eh-	eh-	e h		353	292	690	- e h -
535	En	cerrar	hé-ca-	hé-ca-	h é/e + c a		353	292	687 688	h é/e + c a - -
536	Y	cerrar	é-ta	é-ta	é/e + t a		353	292	689 688	é/e + t a - -
537	MA	cerrar	é-tapo	é-tapo	é/e + t a p o		353	292	689 688	é/e + t a p o
538	Vb	cerrar	yeh-tábu	yeh-tábu	y/j e h + t á/a b u		353	292	690 688	y/j e h - + t á/a b u
539	Va	cerrar	ye'e-té-	ye'e-té-	y/j e e + t é/e		353	292	690 688	y/j e - e + t é/e - -
540	TA	cerrar	yé	yé	y/j é/e		353	292	690	y/j é/e - -
541	TA	cerrar	é.	é.	é/e		353	292	689	é/e
542	Proto	cerrar los ojos	*kupu	*kupu	k u p u		108	11	702	k u - - p u -
543	Proto	cerrar los ojos	kup-i	kup-i	k u p + i		108	11	702 703	k u - - p - - + i
544	TEP	cerrar los ojos	kuupá-	kuupá-	k u u/u p á/a		108	11	702	k u - u/u p á/a -
545	TEP	cerrar los ojos	kuupí-	kuupí-	k u u/u p í/i		108	11	702	k u - u/u p í/i -
546	O	cerrar los ojos	kup-	kup-	k u p		108	11	702	k u - - p - -
547	En	cerrar los ojos	kúpu-	kúpu-	k ú/u p u		108	11	702	k ú/u - - p u -
548	Y	cerrar los ojos	kúpe	kúpe	k ú/u p e		108	11	702	k ú/u - - p e -
549	MA	cerrar los ojos	kúpe	kúpe	k ú/u p e		108	11	702	k ú/u - - p e -
550	Vb	cerrar los ojos	kúpi-	kúpi-	k ú/u p i		108	11	702	k ú/u - - p i -
551	Va	cerrar los ojos	kuhpi-	kuhpi-	k u h p i		108	11	702	k u h - p i -
552	TA	cerrar los ojos	kupu-	kupu-	k u p u		108	11	702	k u - - p u -
553	TA	cerrar los ojos	kupi-.	kupi-.	k u p i +		108	11	702	k u - - p i +
554	Proto	cerro	*kawi	*kawi	k a w i		79	355	716	k a - w i - -
555	P	cerro	kavulk	kavulk	k a v u l k		79	355	716	k a - v u l k
556	O	cerro	kawi	kawi	k a w i		79	355	716	k a - w i - -
557	En	cerro	káwit	káwit	k á/a w i t		79	355	716	k á/a - w i t -
558	Y	cerro	káuwi	káuwi	k áu/au w i		79	355	716	k áu/au - w i - -
559	MA	cerro	káuwi	káuwi	k áu/au w i		79	355	716	k áu/au - w i - -
560	Vb	cerro	kaawí	kaawí	k a a w í/i		79	355	716	k a a w í/i - -
561	Va	cerro	kawi	kawi	k a w i		79	355	716	k a - w i - -
562	TA	cerro	kawi	kawi	k a w i		79	355	716	k a - w i - -
563	TR	cerro	kahi-	kahi-	k a h i		79	355	716	k a - h i - -
564	TR	cerro	haí-.	haí-.	h a í/i +		79	355	717	h a í/i +
565	Proto	cesto	*wari	*wari	w a r i		326	261	728	- w a - - r i
566	O	cesto	gwari-t	gwari-t	gʷ a r i + t		326	261	728 729	- gʷ a - - r i + t
567	En	cesto	gwári-	gwári-	gʷ á/a r i		326	261	728	- gʷ á/a - - r i
568	Y	cesto	waári	waári	w a á/a r i		326	261	728	- w a - á/a r i
569	MA	cesto	gwaári	gwaári	gʷ a á/a r i		326	261	728	- gʷ a - á/a r i
570	Vb	cesto	wa'arí	wa'arí	w a ʔ a r í/i		326	261	728	- w a ʔ a r í/i
571	Va	cesto	warí	warí	w a r í/i		326	261	728	- w a - - r í/i
572	TA	cesto	warí	warí	w a r í/i		326	261	728	- w a - - r í/i
573	TR	cesto	mualí-t.	mualí-t.	m u/w a l í/i + t		326	261	728 729	m u/w a - - l í/i + t
574	Proto	chapulín	*woci	*woci	w o c i		347	285	740	w o - - - c i
575	O	chapulín	goc	goc	g o c		347	285	740	g o - - - c -
576	En	chapulín	góci-	góci-	g ó/o c i		347	285	740	g ó/o - - - c i
577	Y	chapulín	woó'oci	woó'oci	w o ó/o ʔ o c i		347	285	740	w o ó/o ʔ o c i
578	MA	chapulín	gwó-oci	gwó-oci	gʷ ó/o + o c i		347	285	741 740	gʷ ó/o + - o - - - c i
579	Va	chapulín	wohcí	wohcí	w o h c í/i		347	285	740	w o - h - c í/i
580	TA	chapulín	oocí	oocí	o o c í/i		347	285	740	- o - - o c í/i
581	TA	chapulín	o'cí.	o'cí.	o c í/i		347	285	740	- o - - - c í/i
582	Proto	chiflar	*wiku	*wiku	w i k u		338	275	750	w i k u - - -
583	P	chiflar	gikujid	gikujid	g i k u j/dʒ i d		338	275	750	g i k u j/dʒ i d
584	PI	chiflar	wiku-da	wiku-da	w i k u + d a		338	275	750 751	w i k u - - - + d a
585	Tn	chiflar	gikú-dai	gikú-dai	g i k ú/u + d ai		338	275	750 751	g i k ú/u - - - + d ai
586	Ts	chiflar	giku'u-in	giku'u-in	g i k u ʔ u + i n		338	275	750 753	g i k u ʔ u - + i n
587	En	chiflar	bíku-	bíku-	b í/i k u		338	275	750	b í/i k - - u -
588	Y	chiflar	bíkue	bíkue	b í/i k u/w e		338	275	750	b í/i k u/w - e -
589	MA	chiflar	bikué	bikué	b i k u é/e		338	275	750	b i k u - é/e -
590	TA	chiflar	wikú-wa.	wikú-wa.	w i k ú/u + w a		338	275	750 752	w i k ú/u - - - + w a
591	Proto	chile	*kokori	*kokori	k o k o r i		93	371	764	k o - - k o r i
592	TEP	chile	kó'okori	kó'okori	k ó/o ʔ o k o r i		93	371	764	k ó/o ʔ o k o r i
593	Y	chile	kóko'i	kóko'i	k ó/o k o ʔ i		93	371	764	k ó/o - - k o ʔ i
594	MA	chile	kó'okori	kó'okori	k ó/o ʔ o k o r i		93	371	764	k ó/o ʔ o k o r i
595	Vb	chile	kókori	kókori	k ó/o k o r i		93	371	764	k ó/o - - k o r i
596	Va	chile	kókori	kókori	k ó/o k o r i		93	371	764	k ó/o - - k o r i
597	TA	chile	korí	korí	k o r í/i		93	371	764	k o - - - - r í/i
598	TR	chile	kokól.	kokól.	k o k ó/o l		93	371	764	k o - - k ó/o l -
599	Proto	cielo	*tɨwɨka	*tɨwɨka	t ɨ w ɨ k a		303	235	773	t ɨ w ɨ k a
600	TEP	cielo	tɨvá-gi	tɨvá-gi	t ɨ v á/a + g i		303	235	773 775	t ɨ v - - á/a + g i
601	O	cielo	tegwika-t	tegwika-t	t e gʷ i k a + t		303	235	773 774	t e gʷ i k a + t
602	En	cielo	tewíka	tewíka	t e w í/i k a		303	235	773	t e w í/i k a
603	Y	cielo	teéka	teéka	t e é/e k a		303	235	773	t e - é/e k a
604	MA	cielo	teéka	teéka	t e é/e k a		303	235	773	t e - é/e k a
605	Va	cielo	teweká	teweká	t e w e k á/a		303	235	773	t e w e k á/a
606	TA	cielo	rewegá	rewegá	r e w e g á/a		303	235	773	r e w e g á/a
607	TR	cielo	tamwaka-lít.	tamwaka-lít.	t a mw/mʷ a k a + l í/i t		303	235	773 776	t a mw/mʷ a k a + l í/i t
608	Proto	ciempiés	*ma-siwa	*ma-siwa	m a + s i w a		130	38	786 788	m a - - - - + s i w a
609	Proto	ciempiés	ma-yaka	ma-yaka	m a + y/j a k a		130	38	786 789	m a - - - - + y/j a k a
610	P	ciempiés	maihogi	maihogi	m ai h o g i		130	38	786	m ai h o g i
611	PI	ciempiés	mayokka	mayokka	m a y/j o kk/kː a		130	38	786	m a y/j o kk/kː a
612	O	ciempiés	masiwa-t	masiwa-t	m a s i w a + t		130	38	786 787	m a s i w a + t
613	En	ciempiés	másigwa	másigwa	m á/a s i gʷ a		130	38	786	m á/a s i gʷ a
614	Va	ciempiés	ma'yáka	ma'yáka	m a y/j á/a k a		130	38	786	m a y/j á/a k a
615	TA	ciempiés	maagá	maagá	m a a g á/a		130	38	786	m a - a g á/a
616	TR	ciempiés	mahará.	mahará.	m a h a r á/a		130	38	786	m a h a r á/a
617	Proto	cinco	*mamuni	*mamuni	m a m u n i		128bis	35	800	m a m u n i
618	Proto	cinco	mari	mari	m a r i		128bis	35	799	m a r - - - i
619	O	cinco	mariki	mariki	m a r i k i		128bis	35	799	m a r i - k i
620	En	cinco	márki	márki	m á/a r k i		128bis	35	799	m á/a r - - k i
621	Y	cinco	mámni	mámni	m á/a m n i		128bis	35	800	m á/a m - n i
622	MA	cinco	mámni	mámni	m á/a m n i		128bis	35	800	m á/a m - n i
623	Vb	cinco	marihkí	marihkí	m a r i h k í/i		128bis	35	799	m a r i h k í/i
624	Va	cinco	marikí	marikí	m a r i k í/i		128bis	35	799	m a r i - k í/i
625	TA	cinco	marí	marí	m a r í/i		128bis	35	799	m a r - - - í/i
626	TR	cinco	mamuní-r.	mamuní-r.	m a m u n í/i + r		128bis	35	800 801	m a m u n í/i + r
627	Proto	clase de gavilán	*kɨrɨ	*kɨrɨ	k ɨ r ɨ		84	361	811	k ɨ r - ɨ
628	O	clase de gavilán	kere-ci	kere-ci	k e r e + c i		84	361	811 813	k e r - e + c i
629	MA	clase de gavilán	keré'e-re	keré'e-re	k e r é/e e + r e		84	361	811 812	k e r é/e e + r e
630	TA	clase de gavilán	kiri-cí.	kiri-cí.	k i r i + c í/i		84	361	811 813	k i r - i + c í/i
631	Proto	clase de hormiga	*siku	*siku	s i k u		239	162	819	- s i - k u
632	O	clase de hormiga	sikku-ci	sikku-ci	s i kk/kː u + c i		239	162	819 820	- s i - kk/kː u + c i
633	En	clase de hormiga	sikú-c	sikú-c	s i k ú/u + c		239	162	819 820	- s i - k ú/u + c -
634	MA	clase de hormiga	ere'e- suúki-m	ere'e-_suúki-m	e r e e + + s u ú/u k i + m		239	162	821 819 822	e r e e + + s u ú/u k i + m
